Meter,Activation_Date,Total_Load,Active_Days,Per_Day_Avg_Load,Monthly_Avg_Load,Active_Month_Count
MT_001,2012-01-01,556923.8578680203,1096,508.14,15470.11,36
MT_002,2012-01-01,2912884.0682788044,1096,2657.74,80913.45,36
MT_003,2012-01-01,409308.42745438765,1096,373.46,11369.68,36
MT_004,2012-01-01,11526689.024390243,1096,10517.05,320185.81,36
MT_005,2012-01-01,5223092.682926829,1096,4765.6,145085.91,36
MT_006,2012-01-01,19807708.333333336,1096,18072.73,550214.12,36
MT_007,2012-01-01,634134.5392877331,1096,578.59,17614.85,36
MT_008,2012-01-01,26844956.22895623,1096,24493.57,745693.23,36
MT_009,2012-01-01,5606720.27972028,1096,5115.62,155742.23,36
MT_010,2012-01-01,5919455.913978495,1096,5400.96,164429.33,36
MT_011,2012-01-01,4184190.014903128,1096,3817.69,116227.5,36
MT_012,2013-08-29,6915157.446808511,490,14112.57,406773.97,17
MT_013,2012-01-01,7729466.832504146,1096,7052.43,214707.41,36
MT_014,2012-01-01,4699943.841735801,1096,4288.27,130554.0,36
MT_015,2013-06-04,2126698.8636363638,576,3692.19,111931.52,19
MT_016,2012-01-01,3473657.1753986333,1096,3169.4,96490.48,36
MT_017,2012-01-01,5177456.424079065,1096,4723.96,143818.23,36
MT_018,2012-01-01,25807415.33546326,1096,23546.91,716872.65,36
MT_019,2012-01-01,867773.8693467334,1096,791.76,24104.83,36
MT_020,2012-01-01,4296012.334801761,1096,3919.72,119333.68,36
MT_021,2012-01-01,17077740.837696336,1096,15581.88,474381.69,36
MT_022,2012-01-01,2883587.1731008724,1096,2631.01,80099.64,36
MT_023,2012-01-01,1034616.7546174139,1096,943.99,28739.35,36
MT_024,2012-03-30,3002412.8943758574,1007,2981.54,88306.26,34
MT_025,2012-01-01,22913897.19626168,1096,20906.84,636497.14,36
MT_026,2012-01-01,2197492.3728813557,1096,2005.01,61041.45,36
MT_027,2012-01-01,2101330.0852618767,1096,1917.27,58370.28,36
MT_028,2012-01-01,7069393.647738211,1096,6450.18,196372.05,36
MT_029,2012-01-01,8254040.075140888,1096,7531.06,229278.89,36
MT_030,2013-05-09,2165300.5143277002,602,3596.84,108265.03,20
MT_031,2012-01-01,9446853.618421054,1096,8619.39,262412.6,36
MT_032,2012-11-16,2161480.642115203,776,2785.41,83133.87,26
MT_033,2012-07-13,3485141.9031719533,902,3863.79,116171.4,30
MT_034,2012-01-01,1479243.016759776,1096,1349.67,41090.08,36
MT_035,2012-01-01,12325841.068917021,1096,11246.21,342384.47,36
MT_036,2012-01-01,3846003.442340791,1096,3509.13,106833.43,36
MT_037,2012-01-01,11693464.216634426,1096,10669.22,324818.45,36
MT_038,2012-01-01,12606634.816753928,1096,11502.4,350184.3,36
MT_039,2013-10-03,1831100.5098324835,455,4024.4,122073.37,15
MT_040,2012-01-01,10478901.0989011,1096,9561.04,291080.59,36
MT_041,2013-09-13,4041471.5909090913,475,8508.36,252591.97,16
MT_042,2012-01-01,4452551.461245235,1096,4062.55,123681.99,36
MT_043,2012-01-01,114216681.81818183,1096,104212.3,3172685.61,36
MT_044,2012-01-01,3200599.2932862192,1096,2920.25,88905.54,36
MT_045,2012-01-01,9910054.145516073,1096,9042.02,275279.28,36
MT_046,2012-01-01,13827161.137440769,1096,12616.02,384087.81,36
MT_047,2012-01-01,2951435.9110169495,1096,2692.92,81984.33,36
MT_048,2012-01-01,1619123.495552067,1096,1477.3,44975.65,36
MT_049,2012-01-01,98084663.04347825,1096,89493.31,2724573.97,36
MT_050,2012-01-01,17360736.654804267,1096,15840.09,482242.68,36
MT_051,2012-01-01,5820644.760213144,1096,5310.81,161684.58,36
MT_052,2012-01-01,3739331.790123456,1096,3411.8,103870.33,36
MT_053,2012-01-01,7047755.581668626,1096,6430.43,195770.99,36
MT_054,2012-01-01,7343359.712230217,1096,6700.15,203982.21,36
MT_055,2012-01-01,2489893.0817610063,1096,2271.8,69163.7,36
MT_056,2012-01-01,3955794.402035624,1096,3609.3,109883.18,36
MT_057,2012-01-01,2585489.7785349237,1096,2359.02,71819.16,36
MT_058,2012-01-01,8982525.28548124,1096,8195.73,249514.59,36
MT_059,2012-01-01,12542766.461808603,1096,11444.13,348410.18,36
MT_060,2012-01-01,2883444.1087613287,1096,2630.88,80095.67,36
MT_061,2012-01-01,7962318.070318888,1096,7264.89,221175.5,36
MT_062,2012-01-01,6291987.551867218,1096,5740.86,174777.43,36
MT_063,2012-01-01,2377585.1910828026,1096,2169.33,66044.03,36
MT_064,2012-01-01,148577000.0,1096,135562.96,4127138.89,36
MT_065,2012-01-01,6632791.071428571,1096,6051.82,184244.2,36
MT_066,2012-01-01,4185191.4893617025,1096,3818.61,116255.32,36
MT_067,2012-01-01,20645226.720647775,1096,18836.89,573478.52,36
MT_068,2012-01-01,16366248.259860788,1096,14932.71,454618.01,36
MT_069,2012-01-01,17019237.97468354,1096,15528.5,472756.61,36
MT_070,2012-01-01,4366314.703925483,1096,3983.86,121286.52,36
MT_071,2012-01-01,4804448.83485309,1096,4383.62,133456.91,36
MT_072,2012-01-01,10013779.724655818,1096,9136.66,278160.55,36
MT_073,2012-01-01,4961439.637826962,1096,4526.86,137817.77,36
MT_074,2012-01-01,9384260.586319214,1096,8562.28,260673.91,36
MT_075,2012-01-01,5042659.491193738,1096,4600.97,140073.87,36
MT_076,2012-01-01,6352414.563106796,1096,5796.0,176455.96,36
MT_077,2012-01-01,3723222.043010752,1096,3397.1,103422.83,36
MT_078,2012-01-01,4234275.248560962,1096,3863.39,117618.76,36
MT_079,2012-01-01,3414011.3394755493,1096,3114.97,94833.65,36
MT_080,2012-01-01,1518042.405063291,1096,1385.08,42167.84,36
MT_081,2012-01-01,10487652.406417111,1096,9569.03,291323.68,36
MT_082,2012-01-01,4686029.069767442,1096,4275.57,130167.47,36
MT_083,2012-01-01,7519085.064292781,1096,6860.48,208863.47,36
MT_084,2012-01-01,23248626.582278483,1096,21212.25,645795.18,36
MT_085,2012-01-01,13049610.472541507,1096,11906.58,362489.18,36
MT_086,2012-01-01,46323621.05263157,1096,42266.08,1286767.25,36
MT_087,2012-01-01,12146232.189973613,1096,11082.33,337395.34,36
MT_088,2012-01-01,13377800.0,1096,12206.02,371605.56,36
MT_089,2012-01-01,20463507.936507937,1096,18671.08,568430.78,36
MT_090,2012-01-01,13574215.260545906,1096,12385.23,377061.54,36
MT_091,2012-01-01,14554741.827885257,1096,13279.87,404298.38,36
MT_092,2013-01-31,3475723.7798546213,700,4965.32,144821.82,24
MT_093,2012-01-01,2739565.482233503,1096,2499.6,76099.04,36
MT_094,2012-01-01,2717356.745831228,1096,2479.34,75482.13,36
MT_095,2012-01-01,1787292.2996333158,1096,1630.74,49647.01,36
MT_096,2012-01-01,1149457.3913043481,1096,1048.77,31929.37,36
MT_097,2012-01-01,19749357.142857146,1096,18019.49,548593.25,36
MT_098,2012-01-01,71686367.38056013,1096,65407.27,1991287.98,36
MT_099,2012-01-01,123086550.78125,1096,112305.25,3419070.86,36
MT_100,2012-01-01,6193984.687083889,1096,5651.45,172055.13,36
MT_101,2012-01-01,73542128.91986063,1096,67100.48,2042836.91,36
MT_102,2012-01-01,92042389.6961691,1096,83980.28,2556733.05,36
MT_103,2012-01-01,118286862.71186441,1096,107925.97,3285746.19,36
MT_104,2012-01-01,59688484.15841584,1096,54460.3,1658013.45,36
MT_105,2012-01-01,22956755.750273824,1096,20945.95,637687.66,36
MT_106,2014-01-14,1727026.5906932575,352,4906.33,143918.88,12
MT_107,2014-01-14,569315.3456998314,352,1617.37,47442.95,12
MT_108,2014-01-14,1003489.5604395603,352,2850.82,83624.13,12
MT_109,2014-02-18,2185191.4893617015,317,6893.35,198653.77,11
MT_110,2014-01-14,794251.3227513228,352,2256.4,66187.61,12
MT_111,2014-01-14,1782473.6842105263,352,5063.85,148539.47,12
MT_112,2014-02-12,1077035.541195477,323,3334.48,97912.32,11
MT_113,2014-01-14,1084435.9939759036,352,3080.78,90369.67,12
MT_114,2012-01-01,32601387.417218544,1096,29745.79,905594.09,36
MT_115,2014-01-14,792324.2999096651,352,2250.92,66027.02,12
MT_116,2014-02-18,1314535.9643539148,317,4146.8,119503.27,11
MT_117,2014-01-14,507389.03061224497,352,1441.45,42282.42,12
MT_118,2012-01-01,10254154.825737266,1096,9355.98,284837.63,36
MT_119,2012-01-01,8449697.872340426,1096,7709.58,234713.83,36
MT_120,2014-01-14,1347747.5117862755,352,3828.83,112312.29,12
MT_121,2014-01-14,3877889.4009216586,352,11016.73,323157.45,12
MT_122,2014-01-14,754603.3623910339,352,2143.76,62883.61,12
MT_123,2012-01-01,6532291.784702549,1096,5960.12,181452.55,36
MT_124,2011-01-01,39378602.8708134,1461,26953.18,820387.56,48
MT_125,2012-01-01,4028401.7725258493,1096,3675.55,111900.05,36
MT_126,2012-01-01,6190330.392943063,1096,5648.11,171953.62,36
MT_127,2012-07-01,5861555.18672199,914,6413.08,195385.17,30
MT_128,2012-01-01,31472629.244249724,1096,28715.9,874239.7,36
MT_129,2012-01-01,11701524.316676702,1096,10676.57,325042.34,36
MT_130,2012-01-01,4505549.450549453,1096,4110.9,125154.15,36
MT_131,2011-01-01,9756614.583333334,1461,6678.04,203262.8,48
MT_132,2011-01-01,1907191.3781841937,1461,1305.4,39733.15,48
MT_133,2014-03-13,114732.16689098251,294,390.25,11473.22,10
MT_134,2013-01-01,998287.0301291251,730,1367.52,41595.29,24
MT_135,2012-01-01,3402709.2602172787,1096,3104.66,94519.7,36
MT_136,2012-01-01,14029690.322580645,1096,12800.81,389713.62,36
MT_137,2012-01-01,7456874.466268146,1096,6803.72,207135.4,36
MT_138,2012-01-01,11988491.346877355,1096,10938.4,333013.65,36
MT_139,2012-01-01,41319465.15533165,1096,37700.24,1147762.92,36
MT_140,2012-01-01,6800923.076923078,1096,6205.22,188914.53,36
MT_141,2012-01-01,929573.9219712525,1096,848.15,25821.5,36
MT_142,2012-01-01,5846129.713423831,1096,5334.06,162392.49,36
MT_143,2012-01-01,17847785.169029444,1096,16284.48,495771.81,36
MT_144,2012-10-27,13885220.608575381,796,17443.74,514267.43,27
MT_145,2012-01-01,8136767.867690491,1096,7424.06,226021.33,36
MT_146,2012-01-07,8781251.790633608,1090,8056.19,243923.66,36
MT_147,2012-01-01,287670956.097561,1096,262473.5,7990859.89,36
MT_148,2012-01-01,36109275.791624114,1096,32946.42,1003035.44,36
MT_149,2012-01-01,2469349.413298567,1096,2253.06,68593.04,36
MT_150,2012-01-01,2888481.640146879,1096,2635.48,80235.6,36
MT_151,2012-01-01,10398270.247229327,1096,9487.47,288840.84,36
MT_152,2013-01-01,74266478.89750214,730,101734.9,3094436.62,24
MT_153,2012-01-01,19342207.76495278,1096,17648.0,537283.55,36
MT_154,2012-01-01,3497391.7634635703,1096,3191.05,97149.77,36
MT_155,2012-01-01,15560444.444444444,1096,14197.49,432234.57,36
MT_156,2011-01-01,10941431.696818465,1461,7489.0,227946.49,48
MT_157,2012-01-01,230049086.45533144,1096,209898.8,6390252.4,36
MT_158,2011-01-01,10590241.483957216,1461,7248.63,220630.03,48
MT_159,2011-01-01,8684892.863984674,1461,5944.49,180935.27,48
MT_160,2014-02-04,162689.31198910082,331,491.51,14789.94,11
MT_161,2011-01-01,248875885.8024691,1461,170346.26,5184914.29,48
MT_162,2011-01-01,40472991.516436905,1461,27702.25,843187.32,48
MT_163,2011-01-01,336454034.562212,1461,230290.24,7009459.05,48
MT_164,2011-02-22,15244282.97715549,1409,10819.22,324346.45,47
MT_165,2013-09-05,3941753.403933434,483,8160.98,246359.59,16
MT_166,2011-01-01,180008809.56043962,1461,123209.32,3750183.53,48
MT_167,2012-06-22,6714141.412268188,923,7274.26,216585.21,31
MT_168,2011-01-01,19231265.756207675,1461,13163.08,400651.37,48
MT_169,2011-01-01,5613903.642651296,1461,3842.51,116956.33,48
MT_170,2013-02-28,5557141.391509435,672,8269.56,241614.84,23
MT_171,2011-01-01,34533403.62537764,1461,23636.83,719445.91,48
MT_172,2011-01-01,17401156.151930258,1461,11910.44,362524.09,48
MT_173,2012-03-21,6116929.524555904,1016,6020.6,179909.69,34
MT_174,2011-01-01,20383753.195084482,1461,13951.92,424661.52,48
MT_175,2011-01-01,22906702.84539474,1461,15678.78,477222.98,48
MT_176,2011-01-01,11889542.756218912,1461,8137.95,247698.81,48
MT_177,2012-07-16,12993481.721556885,899,14453.26,433116.06,30
MT_178,2014-07-18,7240619.825783974,167,43357.0,1206769.97,6
MT_179,2013-12-20,2844313.0962343104,377,7544.6,218793.32,13
MT_180,2011-01-01,21631739.251170047,1461,14806.12,450661.23,48
MT_181,2014-03-05,3832624.553072626,302,12690.81,383262.46,10
MT_182,2011-01-01,7403110.775862071,1461,5067.15,154231.47,48
MT_183,2011-01-01,11971876.649408283,1461,8194.3,249414.1,48
MT_184,2012-07-20,7897206.560693642,895,8823.69,263240.22,30
MT_185,2013-06-21,3696061.6601101505,559,6611.92,194529.56,19
MT_186,2013-09-26,24777953.21637427,462,53631.93,1548622.08,16
MT_187,2011-01-01,6981142.431021624,1461,4778.33,145440.47,48
MT_188,2011-01-01,4930246.633221851,1461,3374.57,102713.47,48
MT_189,2011-01-01,58271942.429022074,1461,39884.97,1213998.8,48
MT_190,2011-01-01,54284441.055718474,1461,37155.67,1130925.86,48
MT_191,2011-01-01,273785330.9352518,1461,187395.85,5703861.06,48
MT_192,2011-01-01,65337472.781506345,1461,44721.06,1361197.35,48
MT_193,2011-01-01,42635795.19388312,1461,29182.61,888245.73,48
MT_194,2011-01-01,375183610.1694915,1461,256799.19,7816325.21,48
MT_195,2011-01-01,63377226.734348565,1461,43379.35,1320358.89,48
MT_196,2011-01-01,2909482541.666667,1461,1991432.27,60614219.62,48
MT_197,2011-01-01,22006729.166666664,1461,15062.79,458473.52,48
MT_198,2011-01-01,34630277.66990291,1461,23703.13,721464.12,48
MT_199,2011-01-01,65305016.05504587,1461,44698.85,1360521.17,48
MT_200,2011-01-01,119026593.6123348,1461,81469.26,2479720.7,48
MT_201,2011-01-01,41503248.8945041,1461,28407.43,864651.02,48
MT_202,2011-01-01,33996949.859154925,1461,23269.64,708269.79,48
MT_203,2011-01-01,75402300.0,1461,51610.06,1570881.25,48
MT_204,2011-01-01,124576950.74626864,1461,85268.28,2595353.14,48
MT_205,2011-01-01,74592728.81355932,1461,51055.94,1554015.18,48
MT_206,2011-01-01,29343612.256586485,1461,20084.61,611325.26,48
MT_207,2011-01-01,120256639.45578231,1461,82311.18,2505346.66,48
MT_208,2011-01-01,934386882.3529413,1461,639552.97,19466393.38,48
MT_209,2011-01-01,82216443.75,1461,56274.09,1712842.58,48
MT_210,2011-01-01,102864715.76227391,1461,70407.06,2143014.91,48
MT_211,2011-01-01,27047507.5,1461,18513.01,563489.74,48
MT_212,2011-01-01,51021387.59689923,1461,34922.24,1062945.57,48
MT_213,2011-01-01,167709114.96746203,1461,114790.63,3493939.9,48
MT_214,2011-01-01,55662413.441955194,1461,38098.85,1159633.61,48
MT_215,2011-01-01,56869531.25,1461,38925.07,1184781.9,48
MT_216,2011-01-01,308635229.2358804,1461,211249.3,6429900.61,48
MT_217,2011-01-01,30078516.7844523,1461,20587.62,626635.77,48
MT_218,2011-01-01,182395202.268431,1461,124842.71,3799900.05,48
MT_219,2011-01-01,71462509.67741935,1461,48913.42,1488802.28,48
MT_220,2011-01-01,413957455.6962025,1461,283338.44,8624113.66,48
MT_221,2011-01-01,22257098.906819362,1461,15234.15,463689.56,48
MT_222,2011-01-01,132721593.33333333,1461,90842.98,2765033.19,48
MT_223,2011-01-01,47155501.33333333,1461,32276.18,982406.28,48
MT_224,2013-06-24,180642091.5942029,556,324895.85,9507478.5,19
MT_225,2011-01-01,47344395.06341463,1461,32405.47,986341.56,48
MT_226,2011-01-01,67869260.66718388,1461,46453.98,1413942.93,48
MT_227,2011-01-01,38181777.89150461,1461,26134.0,795453.71,48
MT_228,2011-01-01,811049421.0526316,1461,555133.07,16896862.94,48
MT_229,2011-01-01,136567689.3353941,1461,93475.49,2845160.19,48
MT_230,2011-01-01,13816593.609865472,1461,9456.94,287845.7,48
MT_231,2011-01-01,89969189.9543379,1461,61580.55,1874358.12,48
MT_232,2011-01-01,12005679.280730003,1461,8217.44,250118.32,48
MT_233,2011-01-01,19515740.38796516,1461,13357.8,406577.92,48
MT_234,2011-01-01,12368446.392978482,1461,8465.74,257675.97,48
MT_235,2011-01-01,111064849.80392158,1461,76019.75,2313851.04,48
MT_236,2011-01-01,20741331.440809965,1461,14196.67,432111.07,48
MT_237,2011-01-01,12060740.980716255,1461,8255.13,251265.44,48
MT_238,2011-01-01,57626419.175,1461,39443.13,1200550.4,48
MT_239,2011-01-01,16270516.977491964,1461,11136.56,338969.1,48
MT_240,2011-01-01,51123022.62650603,1461,34991.8,1065062.97,48
MT_241,2011-01-01,367029839.50617284,1461,251218.23,7646454.99,48
MT_242,2011-01-01,28028178.393393397,1461,19184.24,583920.38,48
MT_243,2011-01-01,18386287.987271283,1461,12584.73,383047.67,48
MT_244,2011-01-01,22006205.455381785,1461,15062.43,458462.61,48
MT_245,2011-01-01,27817553.068965517,1461,19040.08,579532.36,48
MT_246,2011-01-01,85277332.61410788,1461,58369.15,1776611.1,48
MT_247,2011-01-01,65100097.56097561,1461,44558.59,1356252.03,48
MT_248,2011-01-01,23384145.849056605,1461,16005.58,487169.71,48
MT_249,2011-01-01,9768144.392857144,1461,6685.93,203503.01,48
MT_250,2011-01-01,13051757.605177995,1461,8933.44,271911.62,48
MT_251,2011-01-01,10948701.512560127,1461,7493.98,228097.95,48
MT_252,2011-01-01,32628238.496932518,1461,22332.81,679754.97,48
MT_253,2011-01-01,46930593.356047705,1461,32122.24,977720.69,48
MT_254,2011-01-01,35142192.8630137,1461,24053.52,732129.02,48
MT_255,2012-11-08,46216120.33962264,784,58949.13,1777543.09,26
MT_256,2011-01-01,20657382.965328466,1461,14139.21,430362.15,48
MT_257,2011-01-01,21938020.799256504,1461,15015.76,457042.1,48
MT_258,2011-01-01,17335426.924290214,1461,11865.45,361154.73,48
MT_259,2011-01-01,22311768.093306288,1461,15271.57,464828.5,48
MT_260,2011-01-01,25741250.24,1461,17618.93,536276.05,48
MT_261,2011-01-01,8755312.611111112,1461,5992.68,182402.35,48
MT_262,2011-01-01,27688245.44412608,1461,18951.57,576838.45,48
MT_263,2011-01-01,26871341.761658028,1461,18392.43,559819.62,48
MT_264,2011-01-01,27555079.999999996,1461,18860.42,574064.17,48
MT_265,2011-01-01,24918755.313568987,1461,17055.96,519140.74,48
MT_266,2011-01-01,39369373.3032491,1461,26946.87,820195.28,48
MT_267,2011-01-01,9805466.591166478,1461,6711.48,204280.55,48
MT_268,2011-01-01,35143232.53438114,1461,24054.23,732150.68,48
MT_269,2011-01-01,112309601.2,1461,76871.73,2339783.36,48
MT_270,2011-01-01,9594398.681092221,1461,6567.01,199883.31,48
MT_271,2011-01-01,21394196.036171816,1461,14643.53,445712.42,48
MT_272,2011-01-01,21789717.227179132,1461,14914.25,453952.44,48
MT_273,2011-01-01,69665066.06606606,1461,47683.14,1451355.54,48
MT_274,2011-01-01,46136248.337028824,1461,31578.54,961171.84,48
MT_275,2011-01-01,18442912.732316226,1461,12623.49,384227.35,48
MT_276,2011-01-01,276771205.0495049,1461,189439.57,5766066.77,48
MT_277,2011-01-01,12906920.330347143,1461,8834.31,268894.17,48
MT_278,2011-01-01,12716835.246504784,1461,8704.2,264934.07,48
MT_279,2011-01-01,1688530839.9999998,1461,1155736.37,35177725.83,48
MT_280,2011-04-07,37969213.462962955,1365,27816.27,843760.3,45
MT_281,2011-01-01,17222099.811778992,1461,11787.88,358793.75,48
MT_282,2011-01-01,15860308.04945055,1461,10855.79,330423.08,48
MT_283,2011-01-01,37676617.62942779,1461,25788.24,784929.53,48
MT_284,2011-01-01,10349605.76942356,1461,7083.92,215616.79,48
MT_285,2011-01-01,14227984.86456606,1461,9738.52,296416.35,48
MT_286,2011-01-01,16913617.679494545,1461,11576.74,352367.03,48
MT_287,2011-01-01,22163073.966535434,1461,15169.8,461730.71,48
MT_288,2011-01-01,13344068.97810219,1461,9133.52,278001.44,48
MT_289,2013-11-29,3960879.465824238,398,9951.96,282919.96,14
MT_290,2011-01-01,81826170.83623694,1461,56006.96,1704711.89,48
MT_291,2011-01-01,12538639.673913043,1461,8582.23,261221.66,48
MT_292,2011-01-01,37077989.48081265,1461,25378.5,772458.11,48
MT_293,2011-01-01,13647871.738382097,1461,9341.46,284330.66,48
MT_294,2011-01-01,89906602.26351352,1461,61537.72,1873054.21,48
MT_295,2011-01-01,37401777.71084336,1461,25600.12,779203.7,48
MT_296,2011-01-01,13728557.212894555,1461,9396.69,286011.61,48
MT_297,2011-01-01,21130739.862068966,1461,14463.2,440223.75,48
MT_298,2011-01-01,135263577.3529412,1461,92582.87,2817991.19,48
MT_299,2011-01-01,69326987.6094276,1461,47451.74,1444312.24,48
MT_300,2011-01-01,18488067.0444243,1461,12654.39,385168.06,48
MT_301,2011-01-01,16291714.617625635,1461,11151.07,339410.72,48
MT_302,2011-01-01,17801001.570048302,1461,12184.12,370854.2,48
MT_303,2011-01-01,21408870.567951314,1461,14653.57,446018.14,48
MT_304,2011-01-01,9723856.17881549,1461,6655.62,202580.34,48
MT_305,2013-12-09,2664031.7106033973,388,6866.06,204925.52,13
MT_306,2011-01-01,11396586.856851757,1461,7800.54,237428.89,48
MT_307,2011-01-01,109642587.0769231,1461,75046.26,2284220.56,48
MT_308,2012-08-17,9374474.072580643,867,10812.54,323257.73,29
MT_309,2011-01-01,31212166.548956662,1461,21363.56,650253.47,48
MT_310,2011-01-01,84375113.1838565,1461,57751.62,1757814.86,48
MT_311,2011-01-01,18211949.874879695,1461,12465.4,379415.62,48
MT_312,2011-01-01,53923581.875,1461,36908.68,1123407.96,48
MT_313,2011-01-01,33374038.591916554,1461,22843.28,695292.47,48
MT_314,2011-01-01,157183157.30337083,1461,107586.01,3274649.11,48
MT_315,2011-01-01,12452728.628944505,1461,8523.43,259431.85,48
MT_316,2011-01-01,48745815.48042703,1461,33364.69,1015537.82,48
MT_317,2011-01-01,75036635.01510572,1461,51359.78,1563263.23,48
MT_318,2011-01-01,24463747.34151329,1461,16744.52,509661.4,48
MT_319,2011-01-01,13575981.010041345,1461,9292.25,282832.94,48
MT_320,2011-01-01,14684682.246376812,1461,10051.12,305930.88,48
MT_321,2011-01-01,15834637.05118411,1461,10838.22,329888.27,48
MT_322,2013-08-30,4475960.99491238,489,9153.29,263291.82,17
MT_323,2011-01-01,251024693.65853664,1461,171817.04,5229681.12,48
MT_324,2011-01-01,47271956.795774646,1461,32355.89,984832.43,48
MT_325,2011-01-01,44035361.655773416,1461,30140.56,917403.37,48
MT_326,2011-01-01,35621330.748129666,1461,24381.47,742111.06,48
MT_327,2011-01-01,79708222.70096463,1461,54557.31,1660587.97,48
MT_328,2011-01-01,176048718.5185185,1461,120498.78,3667681.64,48
MT_329,2011-01-01,29836426.411764704,1461,20421.92,621592.22,48
MT_330,2011-01-01,13942678.0,1461,9543.24,290472.46,48
MT_331,2011-01-01,31112509.259259257,1461,21295.35,648177.28,48
MT_332,2012-08-22,4110692.6658905707,862,4768.78,141748.02,29
MT_333,2012-01-01,8940645.360824743,1096,8157.52,248351.26,36
MT_334,2012-01-01,8556401.955738548,1096,7806.94,237677.83,36
MT_335,2012-01-01,7710970.241149306,1096,7035.56,214193.62,36
MT_336,2012-01-01,17019478.34645669,1096,15528.72,472763.29,36
MT_337,2014-01-17,4398687.629310345,349,12603.69,366557.3,12
MT_338,2012-01-01,25756722.94372294,1096,23500.66,715464.53,36
MT_339,2012-01-01,342603775.6097561,1096,312594.69,9516771.54,36
MT_340,2012-01-01,14073643.223443223,1096,12840.92,390934.53,36
MT_341,2012-01-01,109285217.88413098,1096,99712.79,3035700.5,36
MT_342,2012-01-01,28625689.257390052,1096,26118.33,795158.03,36
MT_343,2012-01-01,15949768.711656444,1096,14552.71,443049.13,36
MT_344,2012-01-01,18283920.046349943,1096,16682.41,507886.67,36
MT_345,2012-01-01,219636714.97584543,1096,200398.46,6101019.86,36
MT_346,2012-01-01,30157555.780933063,1096,27516.02,837709.88,36
MT_347,2012-01-01,258755.52282768782,1096,236.09,7187.65,36
MT_348,2012-01-01,1832512.716174975,1096,1672.0,50903.13,36
MT_349,2012-01-01,20204175.05030181,1096,18434.47,561227.08,36
MT_350,2012-01-01,67926965.17412934,1096,61977.16,1886860.14,36
MT_351,2012-01-01,172578746.66666666,1096,157462.36,4793854.07,36
MT_352,2012-01-01,10813282.820705175,1096,9866.13,300368.97,36
MT_353,2012-01-01,54875556.767158434,1096,50068.94,1524321.02,36
MT_354,2012-01-01,12640810.621242484,1096,11533.59,351133.63,36
MT_355,2012-01-01,69462934.55098934,1096,63378.59,1929525.96,36
MT_356,2012-01-01,11524031.007751938,1096,10514.63,320111.97,36
MT_357,2012-01-01,197603500.0,1096,180295.16,5488986.11,36
MT_358,2012-01-01,84869863.63636363,1096,77436.01,2357496.21,36
MT_359,2012-01-01,11435289.173789173,1096,10433.66,317646.92,36
MT_360,2012-01-01,54450581.14035088,1096,49681.19,1512516.14,36
MT_361,2012-01-01,30605592.43397573,1096,27924.81,850155.35,36
MT_362,2012-01-01,5274718100.0,1096,4812699.0,146519947.22,36
MT_363,2012-01-01,264721603.37552744,1096,241534.31,7353377.87,36
MT_364,2012-01-01,412356136.3636364,1096,376237.35,11454337.12,36
MT_365,2012-01-01,9174559.3220339,1096,8370.95,254848.87,36
MT_366,2012-01-01,1300128.145114102,1096,1186.25,36114.67,36
MT_367,2012-01-01,59504789.28884986,1096,54292.69,1652910.81,36
MT_368,2012-01-01,13282772.954924872,1096,12119.32,368965.92,36
MT_369,2012-01-01,87694634.16422287,1096,80013.35,2435962.06,36
MT_370,2013-01-01,1223355508.108108,730,1675829.46,50973146.17,24
